"source_file","interval","BuyVolume","SellVolume","VWAP","Return","PIN"
"2","2023-05-04 14:45:00",336.4721,482.58505,28828.0771510429,-0.00154136499986943,0.10974128663109
"2","2023-05-04 15:00:00",359.20938,298.0176,28866.8636313418,0.00134544111616235,0.120574919653859
"2","2023-05-04 15:15:00",370.98516,355.97839,28911.9206010135,0.0015608543500644,0.115259106891352
"2","2023-05-04 15:30:00",101.0391,185.56752,28876.9886325236,-0.00120822026914057,0.130248229335579
"2","2023-05-04 15:45:00",136.72222,137.00284,28868.1479754539,-0.000306148857214601,0.12638413381571
"2","2023-05-04 16:00:00",209.03934,345.67228,28851.9686467473,-0.000560456068064296,0.130548364651098
"2","2023-05-04 16:15:00",292.26598,279.7207,28930.0564239825,0.00270649736907897,0.127965377036495
"2","2023-05-04 16:30:00",212.14311,222.20197,28904.5728829011,-0.000880867313492608,0.143991150265635
"2","2023-05-04 16:45:00",133.37871,181.88624,28896.8754137813,-0.000266306274475599,0.134826673787876
"2","2023-05-04 17:00:00",115.28987,155.62116,28906.2589904446,0.000324726342515767,0.126116498170764
"2","2023-05-04 17:15:00",138.20289,199.18373,28917.9239403777,0.000403544088390599,0.13900941097361
"2","2023-05-04 17:30:00",167.81147,204.93357,28849.4346178382,-0.0023684038550148,0.14478140538634
"2","2023-05-04 17:45:00",179.22774,198.91094,28820.7157776676,-0.000995473240674426,0.145568649392184
"2","2023-05-04 18:00:00",178.29298,157.1677,28840.6160515876,0.000690485068918591,0.138228935310466
"2","2023-05-04 18:15:00",313.03991,476.00563,28753.2896432481,-0.00302789677527442,0.111705314448084
"2","2023-05-04 18:30:00",259.91179,300.15838,28743.2981179787,-0.000347491552910295,0.129201772107081
"2","2023-05-04 18:45:00",173.36916,166.87617,28783.9786573056,0.00141530520123117,0.13902889751913
"2","2023-05-04 19:00:00",269.66398,234.83326,28808.5014761809,0.000851960709368452,0.135141841485608
"2","2023-05-04 19:15:00",174.30255,122.5857,28778.2165341373,-0.0010512501689345,0.131424371962731
"2","2023-05-04 19:30:00",202.82532,198.00095,28865.6763553946,0.00303909803282925,0.148960858887169
"2","2023-05-04 19:45:00",159.01471,145.43868,28872.1985728334,0.00022595061894827,0.132468533475606
"2","2023-05-04 20:00:00",85.05465,108.23775,28848.9584139728,-0.000804932080318792,0.108366753392904
"2","2023-05-04 20:15:00",74.97498,96.12369,28837.3958207226,-0.000400797598452967,0.102548952645088
"2","2023-05-04 20:30:00",214.99414,218.27702,28875.3096958625,0.0013147468438409,0.144135084165882
"2","2023-05-04 20:45:00",76.69136,93.88607,28855.0952992069,-0.000700058176639326,0.102347278174245
"2","2023-05-04 21:00:00",53.35135,105.36815,28873.6506144645,0.000643051601984496,0.100189509353841
"2","2023-05-04 21:15:00",81.66209,157.931,28818.5634693876,-0.00190786907455651,0.120533223929035
"2","2023-05-04 21:30:00",104.78179,90.47426,28829.0710558951,0.000364611737799091,0.108752178463033
"2","2023-05-04 21:45:00",43.9684,58.85571,28832.61020417,0.000122763174300189,0.0811279305219455
"2","2023-05-04 22:00:00",93.90874,142.35534,28801.9414311702,-0.00106368354383065,0.118953455196071
"2","2023-05-04 22:15:00",118.48168,135.69027,28777.6380093614,-0.000843811930763542,0.122366563185152
"2","2023-05-04 22:30:00",107.50996,98.52812,28784.809719695,0.000249211221967028,0.111375332197902
"2","2023-05-04 22:45:00",66.35328,101.12746,28787.8571624379,0.000105869824138536,0.101882289855699
"2","2023-05-04 23:00:00",120.27772,123.96595,28810.4370758661,0.00078435547671243,0.120161388945567
"2","2023-05-04 23:15:00",60.79655,91.98972,28841.6199681359,0.00108234707400276,0.0976829863262073
"2","2023-05-04 23:30:00",50.7578,71.87551,28832.5918483347,-0.000313024019149142,0.0881519144362076
"2","2023-05-04 23:45:00",61.88346,50.81473,28826.3959993617,-0.000214890461655877,0.0845630387992321
"2","2023-05-05",0,0.00086,28838.16,0.000408098211049391,NA
"3","2023-07-26",47.33337,131.98701,29222.2075967985,NA,0.107519581136248
"3","2023-07-26 00:15:00",85.09432,153.11785,29177.5686863837,-0.00152756804108679,0.119939416418466
"3","2023-07-26 00:30:00",61.38295,71.45751,29174.3324365852,-0.000110915677493057,0.0912199359497516
"3","2023-07-26 00:45:00",42.44604,81.00781,29175.1628201461,2.84628127394296e-05,0.0891521914110265
"3","2023-07-26 01:00:00",79.18436,91.95084,29148.6951166505,-0.000907199855536402,0.10244622005806
"3","2023-07-26 01:15:00",73.58273,63.87853,29160.6837768052,0.000411293202208483,0.0926614358205013
